Public Authority,Type,Nation,Appeals 2012-13,Appeals 2013-14,Appeals 2014-15,Appeals 2015-16,Appeals 2016-17,Cancelled on appeal 2012-13,Cancelled on appeal 2013-14,Cancelled on appeal 2014-15,Cancelled on appeal 2015-16,Cancelled on appeal 2016-17,Total appeals,Total cancelled,%
Aberdeenshire Council,Unitary,Scotland,194,292,249,707,591,76,257,241,395,444,2033,1413,70%
Adur District Council,District,England,798,672,678,615,650,546,435,407,333,387,3413,2108,62%
Allerdale Borough Council,District,England,2178,1840,1216,649,352,1188,1014,684,443,460,6235,3789,61%
Angus Council,Unitary,Scotland,0,0,0,0,69,0,0,0,0,27,69,27,39%
Arun District Council,District,England,3945,3817,3984,4049,4067,2065,2029,2056,2307,2328,19862,10785,54%
Ashfield District Council,District,England,744,694,608,676,631,126,101,97,76,94,3353,494,15%
Ashford Borough Council,District,England,3130,2588,3036,3420,2847,1993,1705,1907,2083,1458,15021,9146,61%
Barrow-in-Furness Borough Council,District,England,1451,939,1022,273,223,519,360,327,181,161,3908,1548,40%
Basingstoke & Deane Borough Council,District,England,2247,2729,2472,2753,2603,2002,2436,2262,2652,2223,12804,11575,90%
Bassetlaw District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Bedford Borough Council,Unitary,England,8990,9569,6364,6526,6361,7491,7094,4894,3006,3837,37810,26322,70%
Blaby District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Blackburn with Darwen Borough Council,Unitary,England,3621,3785,3563,3797,5759,1254,1095,1023,855,1467,20525,5694,28%
Blackpool Council,Unitary,England,28,21,31,41,28,12,13,18,29,9,149,81,54%
Boston Borough Council,District,England,78,175,213,283,507,19,67,125,194,319,1256,724,58%
Bournemouth Borough Council,Unitary,England,5638,5895,6376,6559,5542,2548,2787,3302,2837,2231,30010,13705,46%
Bracknell Forest Council,Unitary,England,902,1163,840,609,649,410,491,408,411,355,4163,2075,50%
Bradford Metropolitan Council,Met District,England,14980,16722,14514,15400,13319,7271,7063,6975,7755,6796,74935,35860,48%
Braintree District Council,District,England,2393,2041,2128,2053,2607,555,623,577,653,764,11222,3172,28%
Brentwood Borough Council,District,England,341,355,306,707,434,188,160,154,250,266,2143,1018,48%
Bristol City Council,Unitary,England,9685,10686,13901,16951,22056,4787,5383,7745,11470,11470,73279,40855,56%
Bromsgrove District Council,District,England,0,1234,1944,1192,1031,0,631,871,594,537,5401,2633,49%
Broxbourne Council,District,England,4262,3755,3616,2323,3031,2819,2487,2533,1519,1835,16987,11193,66%
Broxtowe Borough Council,District,England,642,731,706,1099,829,118,109,83,173,148,4007,631,16%
Burnley Borough Council,District,England,889,1089,919,966,855,425,567,471,548,578,4718,2589,55%
Calderdale,Met District,England,5591,5702,5866,4605,5355,1789,2141,2047,1595,2177,27119,9749,36%
Cambridgeshire County Council,County,England,8638,8705,10567,12851,13905,6158,6241,6631,7822,8941,54666,35793,65%
Cannock Chase District Council,District,England,2485,2684,2337,1156,1096,924,1168,1010,563,447,9758,4112,42%
Canterbury City Council,District,England,8394,11292,8595,7262,8164,3990,4758,3854,4024,3537,43707,20163,46%
Cardiff Council,Unitary,Wales,15382,15597,19986,36637,36670,7932,7748,9830,13305,15422,124272,54237,44%
Carlisle City Council,District,England,1769,2069,395,983,1030,366,569,77,425,479,6246,1916,31%
Ceredigion County Council,Unitary,Wales,1183,1655,1224,493,586,228,343,275,100,168,5141,1114,22%
Charnwood Borough Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Cherwell District Council,District,England,1465,1402,1155,1323,946,935,854,747,926,654,6291,4116,65%
Cheshire West and Chester,Unitary,England,7329,8558,8870,7934,7322,4426,4309,4623,3993,4427,40013,21778,54%
Chesterfield Borough Council,District,England,1088,1090,1235,1314,1081,534,556,631,650,545,5808,2916,50%
Chorley Borough Council,District,England,1232,1201,1330,1130,1087,651,738,880,773,812,5980,3854,64%
Christchurch Borough Council,District,England,1565,1235,747,986,2057,1313,1088,692,871,1484,6590,5448,83%
City of Edinburgh,Unitary,Scotland,43516,40610,41162,42673,34636,25744,24429,25273,24757,17195,202597,117398,58%
City of Glasgow,Unitary,Scotland,13006,14983,17949,19307,18681,2764,2579,2682,4398,5915,83926,18338,22%
City of London Corporation,London Borough,England,26289,28314,28052,21516,17876,11017,6355,6543,4947,5146,122047,34008,28%
City of Westminster,London Borough,England,4866,3311,2080,1047,1220,2727,1684,1099,522,561,12524,6593,53%
City of York,Unitary,England,4750,4898,6899,6323,5418,2215,2905,4540,3469,3077,28288,16206,57%
Clackmannanshire Council,Unitary,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,
Colchester Borough Council,District,England,5700,5947,4872,5745,5641,1481,1948,1537,1933,1925,27905,8824,32%
Comhairle nan Eilean Siar (Western Isles Council),Unitary,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,
Conwy County Borough Council,Unitary,Wales,2812,2595,2495,3947,3662,1363,1264,1484,1803,860,15511,6774,44%
Copeland Borough Council,District,England,93,135,117,121,107,60,41,58,42,75,573,276,48%
Corby Borough Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Cornwall Council,Unitary,England,11489,9395,9358,7080,6904,4935,5494,4933,3294,3209,44226,21865,49%
Cotswold District Council,District,England,1983,1057,2013,2171,1777,1089,504,1246,1336,1163,9001,5338,59%
Council of the Isles of Scilly,Unitary,England,0,0,0,0,0,0,0,0,0,0,0,0,
Craven District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Crawley Borough Council,District,England,2713,2767,2156,2606,3511,1009,863,728,896,1038,13753,4534,33%
Darlington Borough Council,Unitary,England,5789,6097,5307,5778,4689,2424,2471,2291,2368,1596,27660,11150,40%
Daventry District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Denbighshire Council,Unitary,Wales,1749,1530,1659,2389,2287,730,552,698,1105,1054,9614,4139,43%
Derby City Council,Unitary,England,10022,9435,10364,19394,17689,4103,3673,3545,9228,4544,66904,25093,38%
Derbyshire County Council,County,England,0,0,0,0,0,0,0,0,0,0,0,0,
Derbyshire Dales,District,England,1244,1285,883,1085,1336,427,465,301,352,432,5833,1977,34%
Doncaster Metropolitan Borough Council,Met District,England,5016,5074,3942,3822,3224,3110,3045,2532,2472,1951,21078,13110,62%
Dorset County Council,County,England,23,38,27,16,35,6,19,7,12,15,139,59,42%
Dover District Council,District,England,3498,2099,1764,1070,2557,1680,937,857,302,1596,10988,5372,49%
Dudley Metropolitan Borough,Met District,England,3183,2953,2660,3718,4288,1185,1171,874,948,1937,16802,6115,36%
Durham County Council,Unitary,England,6139,8016,7830,8456,8392,3963,5845,5234,4846,5892,38833,25780,66%
East Ayrshire Council,Unitary,Scotland,749,1244,1023,757,762,297,628,387,384,403,4535,2099,46%
East Devon,District,England,2463,2464,828,827,730,788,963,454,421,382,7312,3008,41%
East Hampshire District Council,District,England,628,476,894,1643,1268,322,238,446,768,666,4909,2440,50%
East Hertfordshire,District,England,6057,6046,6426,7624,6928,3843,3812,4424,5381,4710,33081,22170,67%
East Lindsey District Council,District,England,241,1558,960,1405,1418,54,897,641,913,907,5582,3412,61%
East Staffordshire Borough Council,District,England,2026,843,976,704,672,698,289,255,240,234,5221,1716,33%
East Sussex County Council,County,England,5956,13159,12400,12360,13516,2408,3610,2260,2622,2800,57391,13700,24%
Eastbourne Council,District,England,131,135,135,83,89,90,98,95,65,65,573,413,72%
Eastleigh Borough Council,District,England,4541,3770,4378,3474,1833,2125,2845,3295,2561,1485,17996,12311,68%
Eden District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Epping Forest District Council,District,England,1211,3256,3467,3986,3544,253,1034,1048,1118,1021,15464,4474,29%
Erewash Borough,District,England,572,625,538,566,431,138,131,112,141,110,2732,632,23%
Falkirk District Council,Unitary,Scotland,61,27,67,67,74,45,10,38,30,38,296,161,54%
Fareham Borough Council,District,England,2798,2426,1460,1569,1187,1647,1312,730,853,644,9440,5186,55%
Forest Heath District Council,District,England,574,535,681,799,940,317,269,329,435,339,3529,1689,48%
Forest of Dean District Council,District,England,346,298,255,335,312,190,177,202,266,237,1546,1072,69%
Gateshead Metropolitan Borough Council,Met District,England,5265,4555,4527,4924,5020,1788,1298,1198,1314,1455,24291,7053,29%
Gedling Borough Council,District,England,1478,1546,1584,1562,1115,410,493,454,345,297,7285,1999,27%
Gloucester City Council,District,England,4502,3402,3775,1996,1648,2547,1969,2027,1223,871,15323,8637,56%
Gosport Borough Council,District,England,284,224,278,275,241,67,54,44,65,53,1302,283,22%
Gravesham Borough Council,District,England,4811,4292,3407,2979,2255,2397,2160,1805,1485,1010,17744,8857,50%
Great Yarmouth Borough Council,District,England,312,283,241,284,241,131,129,116,113,92,1361,581,43%
Gwynedd Council,Unitary,Wales,1480,1435,1254,1575,1393,908,883,853,761,720,7137,4125,58%
Halton Borough Council,Unitary,England,0,0,0,0,0,0,0,0,0,0,0,0,
Hambleton,District,England,281,274,436,377,369,64,141,172,142,130,1737,649,37%
Hampshire County Council,Unitary,England,0,0,0,0,0,0,0,0,0,0,0,0,
Harlow Council,District,England,2147,2941,1535,2557,2229,414,702,536,570,571,11409,2793,24%
Harrogate Borough Council,District,England,4221,7553,7346,6095,5675,2424,3430,3211,2054,2764,30890,13883,45%
Hart District Council,District,England,734,988,960,1085,1086,316,506,575,506,653,4853,2556,53%
Havant District Council,District,England,1906,1972,1322,2335,2527,980,929,779,1224,1409,10062,5321,53%
Herefordshire Council,Unitary,England,5994,6350,6200,6915,7107,3451,4107,3995,5065,5072,32566,21690,67%
Hertfordshire County Council,Unitary,England,0,0,0,0,0,0,0,0,0,0,0,0,
Hertsmere Borough Council,District,England,945,898,1009,988,1150,349,444,550,551,448,4990,2342,47%
High Peak Borough,District,England,883,724,536,838,824,265,199,147,253,295,3805,1159,30%
Hinckley & Bosworth District Council,District,England,0,0,0,0,0,0,0,0,0,0,0,0,
Horsham District Council,District,England,2192,3737,2462,1750,1745,1597,1521,1094,787,784,11886,5783,49%
Hull City Council,Unitary,England,4196,3506,3834,5887,5130,1256,1060,1409,2419,2568,22553,8712,39%
Ipswich Borough Council,District,England,4082,4101,4878,5058,4725,1252,1066,1133,1009,869,22844,5329,23%
Isle of Anglesey Council,Unitary,Wales,193,237,215,156,197,57,69,106,72,95,998,399,40%
Isle of Wight Council,Unitary,England,7212,6261,4898,4578,4381,4449,3597,2726,2652,2356,27330,15780,58%
Kent County Council,County,England,0,0,0,0,0,0,0,0,0,0,0,0,
Lancaster City Council,District,England,9,14,20,9,11,7,4,9,5,9,63,34,54%
Leeds City Council,Met District,England,35038,33902,28707,30913,35750,13395,14338,12383,12763,15673,164310,68552,42%
Leicester City Council,Unitary,England,4638,5161,6029,6215,5416,1484,1256,1542,1589,1271,27459,7142,26%
Lichfield District Council,District,England,2337,3056,2623,2144,2230,1124,1780,1422,1129,1164,12390,6619,53%
